,Date,riskfree,activity,MA1M,actualreturn
142,2011-10-31,3.26,-7.646699248742386e-09,10.78,10.78
143,2011-11-30,3.27,2.3837104519957626e-09,-0.37,-0.37
144,2011-12-31,3.29,2.3451640091821262e-07,1.75,1.75
145,2012-01-31,3.27,3.855737103574579e-07,17.53,17.53
146,2012-02-29,3.26,4.613695428049231e-07,2.29,2.29
147,2012-03-31,3.24,1.8279413394300225e-07,-8.38,-8.38
148,2012-04-30,3.26,-4.413679745905591e-06,-11.89,-11.89
149,2012-05-31,3.27,-6.116304796386265e-06,6.57,6.57
150,2012-06-30,3.26,-2.7234751742396716e-05,-10.0,-10.0
151,2012-07-31,3.02,-1.8396570487302873e-05,-1.48,-1.48
152,2012-08-31,3.01,1.0261552076516551e-07,-7.52,-7.52
153,2012-09-30,3.01,1.6390488049950396e-07,7.85,7.85
154,2012-10-31,2.75,-8.79672832112013e-07,-23.1,-23.1
155,2012-11-30,2.77,-1.5173375502085875e-06,-9.09,-9.09
156,2012-12-31,2.77,-3.0988237931610223e-07,9.72,9.72
157,2013-01-31,2.76,-1.6764159913463668e-06,16.46,16.46
158,2013-02-28,2.76,-1.786236846636803e-06,4.0,4.0
159,2013-03-31,2.75,1.374816266945282e-06,-7.69,-7.69
160,2013-04-30,2.78,9.872705760571866e-07,-21.59,-21.59
161,2013-05-31,2.5,-1.007024149458954e-06,5.31,5.31
162,2013-06-30,2.5,-1.4332322231633677e-06,-21.43,-21.43
163,2013-07-31,2.53,-7.480490909588942e-07,23.86,23.86
164,2013-08-31,2.51,1.5001436703148132e-07,8.17,8.17
165,2013-09-30,2.5,-3.1765101757215485e-07,8.89,8.89
166,2013-10-31,2.52,1.8369667570495563e-06,-13.47,-13.47
167,2013-11-30,2.5,6.345570152421629e-06,-13.7,-13.7
168,2013-12-31,2.52,-2.424649338760994e-07,-4.4,-4.4
169,2014-01-31,2.51,2.6463512930073056e-07,5.17,5.17
170,2014-02-28,2.49,-1.9040222663203752e-06,-3.37,-3.37
171,2014-03-31,2.49,-2.561369361727566e-06,-2.51,-2.51
172,2014-04-30,2.5,8.11458498292772e-07,19.8,19.8
173,2014-05-31,2.49,-1.5387647452982805e-07,-3.29,-3.29
174,2014-06-30,2.49,-2.5390330843382457e-08,1.94,1.94
175,2014-07-31,2.49,9.14967593410291e-07,-4.76,-4.76
176,2014-08-31,2.24,8.470974255985776e-07,11.06,11.06
177,2014-09-30,2.24,-2.4877249902189116e-06,1.3,1.3
178,2014-10-31,1.97,9.500344707419073e-08,32.91,32.91
179,2014-11-30,1.99,-2.906410610135804e-07,3.44,3.44
180,2014-12-31,2.03,3.5367784512774232e-06,-32.93,-32.93
181,2015-01-31,2.0,5.661458730988337e-07,12.61,12.61
182,2015-02-28,1.99,2.806067052537471e-06,11.89,11.89
183,2015-03-31,1.74,1.1452046715505773e-06,11.36,11.36
184,2015-04-30,1.74,-3.9045078289368294e-08,8.63,8.63
185,2015-05-31,1.74,-1.5981555302681768e-06,-0.39,-0.39
186,2015-06-30,1.5,-1.598522706109284e-06,-3.5,-3.5
187,2015-07-31,1.5,-6.489650693874892e-07,-6.85,-6.85
188,2015-08-31,1.52,-4.202452571873085e-08,-15.84,-15.84
189,2015-09-30,1.49,1.4766096432741752e-06,9.63,9.63
190,2015-10-31,1.5,4.142308332320631e-07,3.27,3.27
191,2015-11-30,1.5,1.917961862568883e-06,-8.14,-8.14
192,2015-12-31,1.52,2.2828588786564043e-06,-1.97,-1.97
193,2016-01-31,1.5,-6.990478077979809e-06,-9.1,-9.1
194,2016-02-29,1.52,-7.42475435361962e-06,0.66,0.66
195,2016-03-31,1.53,-4.582141908299016e-06,-2.08,-2.08
196,2016-04-30,1.5,-4.6419672231892454e-07,-3.22,-3.22
197,2016-05-31,1.48,-1.2657919269198987e-06,-2.44,-2.44
198,2016-06-30,1.23,-1.525356399662722e-07,1.03,1.03
199,2016-07-31,1.24,2.5418403044478433e-06,8.31,8.31
200,2016-08-31,1.25,-6.679288731508729e-07,3.42,3.42
201,2016-09-30,1.26,-1.8713618214681073e-07,2.9,2.9
202,2016-10-31,1.24,9.841060112381595e-07,-11.55,-11.55
203,2016-11-30,1.23,2.8250606022828945e-06,-11.79,-11.79
204,2016-12-31,1.27,4.836418310412985e-06,5.92,5.92
205,2017-01-31,1.25,-3.495973551341578e-06,-4.94,-4.94
206,2017-02-28,1.26,-4.982896484580195e-06,-3.8,-3.8
207,2017-03-31,1.27,1.9216858549658783e-06,-3.6,-3.6
208,2017-04-30,1.21,-7.085786537021269e-07,0.0,0.0
209,2017-05-31,1.26,1.6069274933900795e-06,5.41,5.41
210,2017-06-30,1.29,2.201162797853505e-06,-2.91,-2.91
