,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
152,2012-08-31,3.01,0.19,12668.700817311088,1.65052,7.937961589598316e-06,31.39,269053.0
153,2012-09-30,3.01,3.93,8281.233457342834,1.75191,6.351247092614655e-06,12.68,317180.0
154,2012-10-31,2.75,-4.69,10493.244826844184,1.32379,-5.898343557836556e-06,-24.44,288122.0
155,2012-11-30,2.77,1.63,7576.2415596669825,1.34069,3.9591082026907136e-07,0.42,245873.0
156,2012-12-31,2.77,4.85,6758.612624467639,1.65052,9.690051675504126e-07,23.63,266736.0
157,2013-01-31,2.76,-2.22,6818.836244034995,1.41757,1.0568290154096214e-05,1.71,301760.0
158,2013-02-28,2.76,3.85,9193.065294442724,1.64115,1.6944751715482967e-05,15.0,345619.0
159,2013-03-31,2.75,-1.72,5501.164429187685,1.8124,1.1534066120273566e-05,10.43,372294.0
160,2013-04-30,2.78,-2.91,9021.14968076256,1.94559,1.2942583318168927e-05,7.35,399076.0
161,2013-05-31,2.5,2.25,5991.640380519936,1.83618,4.335431900451587e-06,-5.62,419321.0
162,2013-06-30,2.5,-6.31,5304.021345517414,1.55552,1.6765534035947722e-06,-17.42,370757.0
163,2013-07-31,2.53,2.36,3456.78083039968,1.76007,8.355494857407725e-06,13.15,369846.0
164,2013-08-31,2.51,1.19,4210.465803448108,1.51271,-9.970922250768041e-06,-14.05,349699.0
165,2013-09-30,2.5,3.64,4740.564591522363,1.76958,5.90441272312465e-06,16.98,357694.0
166,2013-10-31,2.52,2.3,4359.168893296474,1.73153,6.848096640910986e-06,-2.15,389228.0
167,2013-11-30,2.5,-0.26,4701.645308054234,2.20722,1.3777499943823938e-05,23.4,431239.0
168,2013-12-31,2.52,-1.98,2812.0001779894815,2.24052,3.7919063408628265e-06,1.51,471938.0
169,2014-01-31,2.51,-3.96,3171.6703684073095,2.13088,5.78950260314656e-06,9.91,513182.0
170,2014-02-28,2.49,2.18,7887.6127688550405,2.34814,3.545434401968501e-06,11.07,525748.0
171,2014-03-31,2.49,-0.12,9309.252928215465,1.85512,-6.951543407057564e-06,-21.0,511489.0
172,2014-04-30,2.5,-1.08,5953.21832352412,1.95957,-4.2061237251465026e-07,3.3,466908.0
173,2014-05-31,2.49,1.81,3396.5979376007153,1.81333,-1.3547525780846616e-06,-7.46,474108.0
174,2014-06-30,2.49,0.24,2913.0708634700295,1.95539,1.2955389287985962e-05,7.83,465656.0
175,2014-07-31,2.49,3.5,3434.153271035991,1.79244,-1.2398153226491002e-05,-8.33,470004.0
176,2014-08-31,2.24,-0.97,10175.896728673699,1.80498,-1.0785699905212462e-05,0.47,435542.0
177,2014-09-30,2.24,-3.26,15556.419747386011,2.01389,-8.593277213261726e-08,11.57,500289.0
178,2014-10-31,1.97,-2.46,7156.475763652953,1.60025,-5.5994025235768126e-06,-20.54,448273.0
179,2014-11-30,1.99,4.27,17208.25602140337,1.22003,-1.1610915647671658e-05,-27.0,293038.0
180,2014-12-31,2.03,-3.8,6083.505770238688,1.22421,4.0283843067430434e-06,0.34,303367.0
181,2015-01-31,2.0,2.39,17374.37781407712,1.53669,-3.417311827374043e-06,12.63,300587.0
182,2015-02-28,1.99,-0.29,10866.111851232714,1.5786,4.902753843124066e-06,4.95,351744.0
183,2015-03-31,1.74,2.31,8299.125163023089,1.44355,-1.7157965071575563e-05,-8.55,335842.0
184,2015-04-30,1.74,3.55,24655.948987646574,1.97441,2.558210838022453e-06,38.11,401589.0
185,2015-05-31,1.74,-2.85,23559.034051985207,1.60654,-1.0374002942312771e-05,-24.01,387995.0
186,2015-06-30,1.5,-3.12,18634.763454134973,1.42958,-1.5317821687622626e-05,-11.01,321574.0
187,2015-07-31,1.5,-3.16,12172.488693370626,1.32248,-3.5869237478051834e-06,-7.49,311764.0
188,2015-08-31,1.52,-4.71,25627.921476235075,0.9127,-7.824503585155479e-06,-30.99,239176.0
189,2015-09-30,1.49,1.68,8976.229610724577,1.01049,-1.398802218904254e-06,8.5,221771.0
190,2015-10-31,1.5,5.37,9118.543321323637,0.90804,-1.8991303842835704e-06,-10.14,225651.0
191,2015-11-30,1.5,-2.07,6592.055025298715,1.05705,5.50131906083052e-06,16.41,210485.0
192,2015-12-31,1.52,-1.58,5159.811863769898,1.03377,6.397510768376987e-06,-2.2,234192.0
193,2016-01-31,1.5,-3.78,6313.482776456509,0.865,-7.978594060756845e-06,-22.17,197201.0
194,2016-02-29,1.52,1.09,9719.326574543435,1.06113,6.586364006097883e-06,22.67,187213.0
195,2016-03-31,1.53,4.79,7902.1351337198785,1.07119,6.082448666585516e-06,0.95,210066.0
196,2016-04-30,1.5,-0.13,18492.591184067856,1.1768,-1.5175351721149618e-06,11.43,238863.0
197,2016-05-31,1.48,-0.64,10994.077666194149,0.96558,-6.408018841597791e-06,-17.95,217276.0
198,2016-06-30,1.23,1.0,6999.582741908943,0.85896,-4.191470199645933e-06,-11.5,188387.0
199,2016-07-31,1.24,3.78,4879.814319404718,0.97563,-4.0453692710308865e-06,15.48,191237.0
200,2016-08-31,1.25,2.14,3968.2585290051766,0.9002,-6.919148701120499e-06,-7.73,198206.0
201,2016-09-30,1.26,0.0,2150.9273624210823,0.97563,1.7162186289260215e-05,6.71,195615.0
202,2016-10-31,1.24,-0.61,2879.4240510640975,0.8308,-8.326799247320248e-06,-14.85,190819.0
203,2016-11-30,1.23,-0.88,2774.847208574236,0.80766,-7.4791120058747524e-06,-5.97,175036.0
204,2016-12-31,1.27,2.81,3700.897428427811,0.87505,-1.0499201036399974e-05,11.97,175068.0
205,2017-01-31,1.25,3.11,9693.824790876211,1.29907,-1.0291297164155435e-05,5.75,180276.0
206,2017-02-28,1.26,-0.16,3893.2636702699288,1.24824,4.274200734864441e-06,-4.74,189828.0
207,2017-03-31,1.27,3.92,5701.295420007808,1.09856,-4.79452035442433e-06,-11.99,166485.0
208,2017-04-30,1.21,2.12,4477.204092403635,1.13386,7.4826774583972006e-06,1.77,164842.0
209,2017-05-31,1.26,6.08,6469.3876423764295,1.18893,7.68197539646559e-06,4.86,169094.0
210,2017-06-30,1.29,2.35,15398.533215191119,1.47558,1.1827616324717528e-05,24.7,203145.0
211,2017-07-31,1.24,0.91,10216.308145696845,1.51088,1.1561500501153472e-05,2.39,223615.0
212,2017-08-31,1.27,-2.01,5379.512930862191,1.46146,1.2916604073802447e-05,-3.27,225159.0
213,2017-09-30,1.27,2.47,4633.647764774959,1.21717,-1.0739022809774438e-06,-21.28,197564.0
214,2017-10-31,1.26,5.47,3637.6891149253242,1.23977,4.551116025769964e-07,1.86,183058.0
215,2017-11-30,1.53,-1.55,6338.993155038106,1.15222,-2.0038307590694648e-05,-6.96,177795.0
216,2017-12-31,1.58,-1.89,3924.810397741979,1.10986,-8.148324065775138e-06,-3.79,162266.0
217,2018-01-31,1.54,2.66,3859.827401665654,0.88682,-1.1166681140936724e-05,-0.76,162939.0
218,2018-02-28,1.51,-6.71,4342.810997822415,0.78563,-2.3880506824436696e-05,-11.97,147411.0
219,2018-03-31,1.54,0.56,2344.842833452446,0.80155,-6.002314029656377e-06,2.03,144121.0
220,2018-04-30,1.51,2.84,2579.6945593360074,0.79131,-4.928407706757427e-06,-1.28,144339.0
221,2018-05-31,1.55,-3.91,6115.242369389353,0.88341,1.2517898495624651e-05,11.64,151921.0
222,2018-06-30,1.57,-5.23,4182.699525956609,0.76744,1.0834624660361667e-05,-15.94,155471.0
223,2018-07-31,1.52,-0.74,7646.225664559545,0.59462,-1.6873402450363748e-05,-22.52,110261.0
224,2018-08-31,1.55,0.88,3122.124322141456,0.56677,-1.586909812156396e-05,-4.68,104004.0
225,2018-09-30,1.65,1.11,2374.7159140240888,0.53664,-2.2124908707805363e-05,-7.99,99051.0
226,2018-10-31,1.57,-12.15,2285.4273980779562,0.40703,-6.8573440972509095e-06,-24.15,83765.0
227,2018-11-30,1.76,3.38,2506.121107266436,0.38315,-2.8586943201024224e-06,-6.0,71961.0
228,2018-12-31,1.89,-4.19,843.4028093704765,0.33995,5.346109551969981e-06,-11.8,67702.0
229,2019-01-31,1.81,9.13,2099.4982206991995,0.58495,-1.0428461362314347e-05,1.0,60698.0
230,2019-02-28,1.8,0.77,6569.171800513384,0.52878,-2.885049439843498e-05,-10.78,59994.0
231,2019-03-31,1.81,-2.58,7347.112074220834,0.47648,-2.0727465951688257e-05,-9.89,52492.0
232,2019-04-30,1.79,3.05,5830.3291470968625,0.53071,2.2195699547922357e-07,11.38,58764.0
