,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
111,2009-03-31,13.78605563624211,1.73,12.05605563624211,0.43,-0.83,13.887399351773155,1.1884258607038163
112,2009-04-30,14.501274064229435,1.85,12.651274064229435,10.44,-0.59,7.204292497408588,-2.02510196335011
113,2009-05-31,2.3509756391387526,1.96,0.39097563913875266,0.7,2.36,2.8826709011632374,-3.278448500616932
114,2009-06-30,-1.0240844909384066,1.96,-2.9840844909384066,-3.44,4.53,-8.86286073914917,-3.767839077784643
115,2009-07-31,11.89537195439172,1.95,9.945371954391721,-5.28,6.41,2.3247307356869698,3.5477837126421576
116,2009-08-31,2.4230119912903803,1.99,0.43301199129038026,0.29,1.89,4.089198208025877,-1.3096652430290447
117,2009-09-30,4.642350172100322,2.0,2.642350172100322,-7.19,4.58,-11.263702713914924,-3.269947789221021
118,2009-10-31,-5.288310002003371,2.01,-7.298310002003371,0.18,0.31,-2.3755896816745974,3.648583946348438
119,2009-11-30,-1.774520048897969,2.01,-3.784520048897969,-1.88,-0.16,0.37126530700660965,0.34250983283841663
120,2009-12-31,8.304812734211438,2.01,6.294812734211439,2.08,-1.98,0.9671454493508804,-3.8129100905263584
121,2010-01-31,-4.287626165162806,2.0,-6.287626165162806,2.98,-1.71,2.12432938909366,-3.7023491881784594
122,2010-02-28,-0.18857482100021628,2.01,-2.198574821000216,1.9,0.47,7.552345778442373,0.9977393160248198
123,2010-03-31,5.904590404071499,2.0,3.9045904040714987,-2.0,5.16,1.0624738567229883,-0.8729828937362498
124,2010-04-30,3.0729042937384747,2.0,1.0729042937384747,0.02,5.6,7.633690892849614,5.697299807727333
125,2010-05-31,-5.661393438948764,2.0,-7.661393438948764,-0.02,1.88,-1.3720677492866429,-1.0994632827349022
126,2010-06-30,3.3423807094493156,2.03,1.3123807094493158,-2.73,0.37,-1.2442709216291092,3.705028550670903
127,2010-07-31,3.1822912867895496,2.28,0.9022912867895498,-1.53,3.16,-4.315009657568709,1.1131009810202244
128,2010-08-31,-1.0300527246821929,2.28,-3.3100527246821927,-2.0,-1.39,-3.749766975751399,1.3142295796860282
129,2010-09-30,7.441560808014458,2.27,5.171560808014458,-4.17,3.02,-0.1910099540072281,-0.6607625049395836
130,2010-10-31,1.2751279008819978,2.26,-0.984872099118002,5.78,1.77,2.651543271284254,1.523025638535941
131,2010-11-30,0.6877193530592933,2.51,-1.8222806469407065,-6.5,1.7,-5.170464690528334,2.202459227345713
132,2010-12-31,7.46009299780259,2.51,4.9500929978025905,-3.87,2.85,-0.06215610390177062,0.8748050176256186
133,2011-01-31,1.2586168956684247,2.75,-1.4913831043315753,0.1,0.01,10.812429165279724,-0.053159679217330336
134,2011-02-28,-5.954045976456484,2.76,-8.714045976456484,3.07,-2.83,-1.921721347057229,-1.83312534708314
135,2011-03-31,8.550095265210132,2.99,5.560095265210132,-4.94,1.18,2.266468553758969,-3.331763458775228
136,2011-04-30,3.547706166085348,3.02,0.5277061660853479,-4.67,-1.37,4.008963133979464,4.121247027728984
137,2011-05-31,-2.4267317905051584,3.03,-5.456731790505158,-2.37,3.53,-5.163502562279078,-1.0738636667550594
138,2011-06-30,-2.349546563990785,3.28,-5.629546563990784,-1.74,0.67,-6.054142697939497,2.9949972603812256
139,2011-07-31,2.3778350144453526,3.27,-0.8921649855546474,7.42,-0.02,-4.373721420473075,-1.589249244704689
140,2011-08-31,-11.464122134593154,3.27,-14.734122134593154,3.1,0.34,-4.306390771301324,2.4529842650928373
141,2011-09-30,-5.9269179344114065,3.28,-9.206917934411406,-3.97,-4.57,-3.96901028034209,1.315528401455353
142,2011-10-31,8.217549363928114,3.26,4.9575493639281145,1.15,-2.13,7.052794160627926,-7.46389260937211
143,2011-11-30,-2.7816583359327467,3.27,-6.051658335932746,4.83,-0.42,-2.471948169220269,-3.3312105964990906
144,2011-12-31,1.262314852888153,3.29,-2.027685147111847,6.18,1.8,3.6830475910340112,-0.2976437023486085
145,2012-01-31,6.447750188932815,3.27,3.1777501889328152,-1.78,1.51,1.3580273127256959,-6.96908970143717
146,2012-02-29,4.45094664911727,3.26,1.1909466491172704,8.4,3.04,2.817006321865719,1.305886897176748
147,2012-03-31,-0.69048375680822,3.24,-3.9304837568082203,-2.56,0.54,-7.858114322239786,-0.680203310747828
148,2012-04-30,-4.2020920019501915,3.26,-7.462092001950191,-2.81,1.06,1.476542967572172,8.260375200523242
149,2012-05-31,-6.50590094784323,3.27,-9.77590094784323,1.38,-0.72,-0.5442208715510475,-2.5910660328684116
150,2012-06-30,0.887559423335091,3.26,-2.372440576664909,3.1,-0.59,2.1467664528236554,-0.48471690854341887
151,2012-07-31,1.0529612830919604,3.02,-1.9670387169080397,-2.98,0.85,-5.825639449195961,0.27893941147466705
152,2012-08-31,1.906644638275921,3.01,-1.1033553617240788,4.49,-2.24,9.078143022448003,-1.0680566383469454
153,2012-09-30,4.6224511610722345,3.01,1.6124511610722347,3.64,1.09,-2.997048714028807,0.05300456243091389
154,2012-10-31,-4.5233285195331945,2.75,-7.2733285195331945,2.44,3.39,-2.1989313724135826,0.46450138992302925
