,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
102,2008-11-30,-3.3792415022753772,3.99,-7.369241502275377,4.34,-10.03,5.261922388562738,-0.7579895877090195
103,2008-12-31,5.149285952493514,3.02,2.129285952493514,-0.07,-1.49,10.966754880138609,-3.646087156184535
104,2009-01-31,3.9439802467733642,2.41,1.533980246773364,2.31,-1.67,-0.5806470860886179,0.016310889461919942
105,2009-02-28,-7.352061243024096,1.87,-9.222061243024097,7.66,-0.79,14.631397053638793,1.683996708615851
106,2009-03-31,13.906147272566088,1.73,12.176147272566087,0.43,-0.83,5.575741638963024,-0.793391361735857
107,2009-04-30,13.863845171257452,1.85,12.013845171257453,10.44,-0.59,2.6378012372863395,-3.12252044476422
108,2009-05-31,2.0304270920233023,1.96,0.07042709202330233,0.7,2.36,-8.696140298588134,-3.071329235318828
109,2009-06-30,-0.7022968404134673,1.96,-2.6622968404134673,-3.44,4.53,0.6098351220188931,5.3154376177934495
110,2009-07-31,11.946330507314244,1.95,9.996330507314244,-5.28,6.41,7.976497912156859,-2.5760729831858953
111,2009-08-31,2.5159630987919144,1.99,0.5259630987919144,0.29,1.89,-11.474897985374767,-4.1993330462160685
112,2009-09-30,4.650134995841171,2.0,2.650134995841171,-7.19,4.58,-1.9935043687839737,3.2373372752663414
113,2009-10-31,-5.433651872313277,2.01,-7.443651872313277,0.18,0.31,1.4768031883536707,0.6577761420505652
114,2009-11-30,-1.412329137980393,2.01,-3.422329137980393,-1.88,-0.16,1.4275111657862993,-3.2771695531593252
115,2009-12-31,8.461575647325333,2.01,6.451575647325333,2.08,-1.98,-2.1442851872615307,-2.609835640792383
116,2010-01-31,-4.292089815718143,2.0,-6.292089815718143,2.98,-1.71,6.79053594542593,1.0184813414429215
117,2010-02-28,-0.2479120046523775,2.01,-2.2579120046523773,1.9,0.47,2.6421890057529964,-0.39722261495697353
118,2010-03-31,5.933033352764113,2.0,3.933033352764113,-2.0,5.16,9.286487062186126,5.074261577471731
119,2010-04-30,3.3353598653920784,2.0,1.3353598653920784,0.02,5.6,1.0577646808343104,-0.7675359385603713
120,2010-05-31,-5.566825916781525,2.0,-7.566825916781525,-0.02,1.88,-0.7477447031420752,3.829475413525145
121,2010-06-30,3.410204804743657,2.03,1.380204804743657,-2.73,0.37,-1.4132617839666892,0.5927995209500807
122,2010-07-31,3.3744947126668023,2.28,1.0944947126668025,-1.53,3.16,-2.6234139858587895,1.458234795134345
123,2010-08-31,-0.9301859016113809,2.28,-3.2101859016113807,-2.0,-1.39,-0.5631829836885203,-0.9322831617257918
124,2010-09-30,7.345374414842794,2.27,5.075374414842795,-4.17,3.02,0.5355274884318817,1.7139130707458037
125,2010-10-31,1.085696053386016,2.26,-1.1743039466139837,5.78,1.77,-3.2252812052032738,2.167908692191901
126,2010-11-30,0.8748224945819914,2.51,-1.6351775054180084,-6.5,1.7,0.29431051013146714,1.316389873767946
127,2010-12-31,7.6375048590291215,2.51,5.127504859029122,-3.87,2.85,9.166780912935252,-1.1926031419805412
128,2011-01-31,1.364766123324685,2.75,-1.385233876675315,0.1,0.01,-1.7434652932579127,-2.2926760544799265
129,2011-02-28,-5.795781343089061,2.76,-8.55578134308906,3.07,-2.83,2.117070644784235,-3.695496162538788
130,2011-03-31,8.604882184879784,2.99,5.614882184879784,-4.94,1.18,4.383264050371906,4.180875390734002
131,2011-04-30,3.6605487650132886,3.02,0.6405487650132886,-4.67,-1.37,-5.596626181275667,-1.6318396972941969
132,2011-05-31,-2.588731500597177,3.03,-5.6187315005971765,-2.37,3.53,-0.32040851041382723,3.6674378837097095
133,2011-06-30,-2.4241002784587096,3.28,-5.704100278458709,-1.74,0.67,-4.010533527614285,-1.7385569418539149
134,2011-07-31,2.405305369495082,3.27,-0.8646946305049181,7.42,-0.02,-4.461034890110781,2.4848464118118443
135,2011-08-31,-11.48280368471572,3.27,-14.752803684715719,3.1,0.34,-4.159841305520004,1.663679507369281
136,2011-09-30,-5.3455924258694125,3.28,-8.625592425869412,-3.97,-4.57,7.511093732537532,-7.937520618306664
